category,type,year,metric,value
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2013-14,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2013-14,Prosecutions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2014-15,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2014-15,Prosecutions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2015-16,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2015-16,Prosecutions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2016-17,Convictions,1
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2016-17,Prosecutions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2017-18,Convictions,1
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2017-18,Prosecutions,2
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2018-19,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2018-19,Prosecutions,1
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2019-20,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2019-20,Prosecutions,3
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2020-21,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2020-21,Prosecutions,2
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2021-22,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2021-22,Prosecutions,1
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2022-23,Convictions,2
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2022-23,Prosecutions,3
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2023-24,Convictions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Corporate,2023-24,Prosecutions,0
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2013-14,Convictions,493
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2013-14,Prosecutions,956
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2014-15,Convictions,469
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2014-15,Prosecutions,903
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2015-16,Convictions,580
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2015-16,Prosecutions,894
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2016-17,Convictions,618
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2016-17,Prosecutions,889
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2017-18,Convictions,676
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2017-18,Prosecutions,906
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2018-19,Convictions,461
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2018-19,Prosecutions,632
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2019-20,Convictions,398
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2019-20,Prosecutions,643
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2020-21,Convictions,199
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2020-21,Prosecutions,582
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2021-22,Convictions,329
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2021-22,Prosecutions,496
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2022-23,Convictions,288
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2022-23,Prosecutions,372
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2023-24,Convictions,342
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Individual,2023-24,Prosecutions,371
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2013-14,Convictions,497
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2013-14,Prosecutions,1007
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2014-15,Convictions,470
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2014-15,Prosecutions,952
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2015-16,Convictions,586
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2015-16,Prosecutions,948
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2016-17,Convictions,621
